,dna病毒,h1n1,h3n2,m1病毒,奥司他韦,爆发,北京apec,北京奥运会,北京爆炸事件,北京冬奥会,北京枪击,北京世锦赛,北京世园会,北京特大暴雨,北京雪灾,北京亚运会,北京博览园,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,地震,地质灾害,对华战争,发热,反恐,房地产,感冒,感染,股价指数,关税,冠状病毒,国际会议,国际恐怖主义,黑死病,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,金融风暴,金融危机,禁韩令,经济危机,军团菌肺炎,恐怖袭击,恐怖主义,恐怖组织,流感病毒,流感疫苗,流感症状,流行病毒,麻疹,贸易,贸易赤字,贸易战,孟晚舟,男篮世界杯,欧债危机,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,失业,手足口病,死亡人数,突变,瘟疫,限韩令,腺病毒,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射
,DNA_virus,h1n1,h3n2,M1_virus,Oseltamivir,Outbreak,Beijing_APEC,Beijing_Olympic_Games,Beijing_explosion,Beijing_Winter_Olympic_Games,Shooting_in_Beijing,Beijing_World_Championships,Beijing_World_Horticultural_Exposition,Heavy_rain_in_Beijing,Snow_disaster_in_Beijing,Beijing_Asian_Games,Beijing_Expo_Park,excess_production_capacity,North_Korea_nuclear_issue,Infectious_Diseases,subprime_crisis_,Subprime_loans,earthquake,geologic_hazard_,The_war_against_China,fever,counter-terrorism,real_estate,cold,Infected,Stock_index,tariff,coronavirus,international_conference_,international_terrorism,Black_Death,respirator,Huawei,Volcano_eruption,currency_devaluation,Currency_crisis,poliomyelitis,financial_crisis_,financial_crisis,Ban_on_Korea,economic_crisis,legionaires_disease_,terrorist_attack,terrorism,Terrorist_organizations,influenza_virus,influenza_vaccine,Flu_symptoms,Epidemic_virus,measles,Trade,trade_deficit,trade_war,Meng_Wanzhou,Men's_Basketball_World_Cup,European_debt_crisis,Avian_influenza_virus,Enclosure_movement,Global_stock_market_crash,Global_financial_crisis,RMB,THAAD__deployment,THAAD__incident,Unemployment,Hand_foot_mouth_disease,death_toll,mutation,plague,South_Korea_restriction_order,adenovirus,medicine,hepatitis_B_virus,Vaccination,parade,debt,debt_crisis_,Occupy_Wall_Street,Sino_US_relations,China_EU_Relations,Sino_Japanese_Relations,Sino_Indian_Relations,swine_flu,injection
11-Jan,2292,18042,3630,0,4776,6308,10245,20424,0,0,557,0,0,0,64,5971,531,6167,4397,9503,15982,4204,276418,6311,63,8747,36786,74074,98355,13729,4022,13215,3271,4609,2029,17763,5392,192083,21111,2599,3646,7199,7112,27728,0,11660,2814,7021,5999,6180,6124,8880,18317,3450,20488,14683,3918,0,3999,0,6304,2645,7965,0,2530,77283,0,0,7861,31496,1389,5280,7591,0,4939,10166,9251,4579,6084,4977,4945,0,30936,1695,24282,8221,14819,9356
11-Feb,3680,10768,368,0,4433,8259,13327,37655,58,0,179,0,0,243,0,6253,1255,6419,5149,33349,36653,5963,205605,9299,547,16624,48070,115457,88619,20175,4680,18312,3448,6402,3258,30304,8914,573157,21334,3336,5368,29772,11379,64976,0,36318,3284,7544,11126,8596,6027,20232,9572,4643,79977,23476,5643,0,5047,185,66047,4671,10201,310,3811,107608,0,0,10826,88741,3775,5886,11518,0,6420,11737,13763,5812,12751,6837,12956,217722,29335,3755,20163,12249,11873,8180
11-Mar,3008,10980,1027,0,4293,7704,44678,31578,380,0,978,0,0,0,0,5965,1254,8085,6023,31736,33944,6110,257683,9758,1896,17056,46977,123606,93299,20122,5268,19264,3493,6505,4903,24315,9372,551233,24109,3289,4789,22166,9739,59751,0,34961,3075,7024,16164,7596,6827,17786,9610,3288,43040,25395,5299,0,5372,836,97174,4993,10070,61,3778,105062,0,0,12075,141272,3526,6428,10606,0,6503,12075,14785,5753,10285,7120,15694,65942,39282,4480,22894,15868,12115,7824
11-Apr,3309,13562,1776,0,4595,8100,16866,31318,118,0,183,0,0,61,0,6329,1052,7165,6969,66229,31049,5706,270986,9959,419,18382,49108,103647,118774,18925,5838,20481,3571,6183,4834,23052,10212,522582,24929,3262,5336,18331,8675,56971,0,31821,3662,7522,13813,7485,7287,11661,12177,3838,35754,24564,5828,0,9144,246,90048,5848,10080,0,3845,121927,0,0,12761,99590,2816,6560,9736,0,6866,13018,16423,5391,9077,6695,13050,40021,42305,4921,30882,12296,13427,8110
11-May,1680,19910,2302,0,4919,5408,7471,19047,61,0,1366,0,0,0,0,4882,641,5418,3290,9550,16972,3685,109389,5561,0,6501,34083,81785,66970,16187,3158,10510,2879,5080,1635,15393,4934,245154,18665,2646,2413,6836,6425,22454,0,12086,1373,6598,5104,5807,5567,9515,23842,3176,24065,17255,3072,0,2580,0,4346,2246,6749,0,2434,75433,0,0,6659,25744,1219,4716,7555,0,4376,9375,9045,5622,31973,4468,3197,0,15520,1330,18939,6211,12699,8727
11-Jun,2538,15815,783,0,5099,7009,11305,30267,559,0,61,0,0,0,0,5629,803,7070,5733,14573,23157,4913,1045385,9134,373,7458,35867,109486,79099,14773,3979,15315,3408,7049,3176,25255,6253,341379,33124,3022,3546,9665,7884,32065,0,14772,2757,7423,7682,7035,6220,8866,14961,3164,42943,23803,4956,0,2839,0,6243,2908,10155,63,2975,85497,0,0,8905,45708,3884,6311,10144,0,5507,10995,10952,7430,19657,6041,4996,0,20354,1839,30170,8371,11900,9300
11-Jul,2695,9431,386,0,4610,6974,11358,30713,1975,0,241,0,0,57,0,5953,975,7552,5567,15801,22111,4928,326955,9508,1510,14854,37096,100335,73666,16277,4082,14871,3396,6184,2843,23741,5679,328002,24506,3025,3826,8900,7622,33826,0,15502,2995,6775,8681,6376,5984,6825,10902,3642,57450,22393,4892,0,54079,0,6872,4572,9728,0,2926,100862,0,0,9194,79182,2585,5977,10703,0,5664,11809,10955,7234,10563,5818,4970,0,23386,3898,26340,9465,11170,9444
11-Aug,3111,8976,246,0,4436,7076,15042,33228,119,0,61,0,0,0,0,6222,1511,7303,7229,17325,25354,5415,240373,10420,1877,16341,40748,107161,65871,14902,4856,15830,3489,6231,5744,21192,6059,309331,23962,3253,3879,10722,8389,39485,0,19219,3869,11007,19266,17175,6527,6089,9424,3900,61789,23568,5314,0,5578,0,11965,4830,10918,0,3316,97898,0,0,10398,181439,1876,6898,9383,0,6201,12401,12187,6560,12029,6124,5589,162,40299,5343,34072,10799,11789,9968
11-Sep,3142,8431,0,0,3931,7058,14517,30957,0,0,247,0,0,4432,61,6382,1485,6413,7093,16074,22396,5136,184608,24295,1188,16707,39501,98459,58179,17051,5045,16696,3094,5810,4843,21041,5765,350250,23809,2953,4908,9293,8589,38610,0,17564,3271,6831,11138,7322,5588,5579,7964,3512,47885,21918,4971,0,5193,0,11009,4182,9101,0,2898,91894,0,0,10567,186243,1244,5902,9353,0,5657,11867,11038,4806,9781,6330,6382,0,37077,4030,27722,9650,11064,10946
