date,domestic
2011-Jan,8490000
2011-Feb,14990000
2011-Mar,14210000
2011-Apr,23081000
2011-May,23940000
2011-Jun,20128000
2011-Jul,27389000
2011-Aug,27583000
2011-Sep,19615000
2011-Oct,27278000
2011-Nov,15038000
2011-Dec,10514000
2012-Jan,13954000
2012-Feb,11171000
2012-Mar,13957000
2012-Apr,24585000
2012-May,24002000
2012-Jun,20451000
2012-Jul,26162000
2012-Aug,27111000
2012-Sep,18511000
2012-Oct,27900000
2012-Nov,14109000
2012-Dec,10318000
2013-Jan,9710000
2013-Feb,15417000
2013-Mar,15836000
2013-Apr,25096000
2013-May,26052000
2013-Jun,22300000
2013-Jul,27743000
2013-Aug,29863000
2013-Sep,22708000
2013-Oct,31997000
2013-Nov,18091000
2013-Dec,12632000
2014-Jan,12234000
2014-Feb,17197000
2014-Mar,19964000
2014-Apr,28334000
2014-May,26528000
2014-Jun,23469000
2014-Jul,30421000
2014-Aug,33624000
2014-Sep,24133000
2014-Oct,30326000
2014-Nov,19139000
2014-Dec,12514000
2015-Jan,13890000
2015-Feb,18295000
2015-Mar,20239000
2015-Apr,28229000
2015-May,28473000
2015-Jun,24286000
2015-Jul,31531000
2015-Aug,34730000
2015-Sep,23523000
2015-Oct,33139000
2015-Nov,16341000
2015-Dec,12553000
2016-Jan,12070000
2016-Feb,20249000
2016-Mar,21749000
2016-Apr,32638000
2016-May,28776000
2016-Jun,26426000
2016-Jul,30606000
2016-Aug,34615000
2016-Sep,25619000
2016-Oct,31670000
2016-Nov,18049000
2016-Dec,13121000
2017-Jan,15719000
2017-Feb,20883000
2017-Mar,22849000
2017-Apr,36020000
2017-May,29221000
2017-Jun,23496000
2017-Jul,30019000
2017-Aug,33888000
2017-Sep,23186000
2017-Oct,29060000
2017-Nov,19149000
2017-Dec,13212000
2018-Jan,13038000
2018-Feb,21198000
2018-Mar,20690000
2018-Apr,30012000
2018-May,29217000
2018-Jun,26048000
2018-Jul,30262000
2018-Aug,35718000
2018-Sep,28217000
2018-Oct,34552000
2018-Nov,20172000
2018-Dec,14659000
2019-Jan,14071000
2019-Feb,22352000
2019-Mar,23730000
2019-Apr,30562000
2019-May,30827000
2019-Jun,26124000
2019-Jul,31475000
2019-Aug,38553000
2019-Sep,24517000
2019-Oct,33464000
2019-Nov,21131000
2019-Dec,14107000
2020-Jan,12938000
2020-Feb,3306000
2020-Mar,8303000
2020-Apr,12014000
2020-May,15299000
2020-Jun,12841000
2020-Jul,13096000
2020-Aug,16493000
2020-Sep,18275000
2020-Oct,25793000
2020-Nov,17464000
2020-Dec,11514000
