query (Chinese),apec,dna病毒,g20峰会,g7峰会,g8峰会,h1n1,h3n2,m1病毒,奥司他韦,奥运会,八国集团峰会,暴恐,爆发,爆炸事件,冰灾,博鳌亚洲论坛,博览园,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,打砸抢,地震,地质灾害,冬奥会,对华战争,发热,反恐,房地产,飞机冲出跑道,飞机坠落,感冒,感染,股价指数,关税,冠状病毒,国际会议,国际恐怖主义,海啸,黑死病,洪水灾害,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,劫机,金融风暴,金融危机,金砖国家峰会,金砖会议,进博会,禁韩令,经济危机,军团菌肺炎,恐怖袭击,恐怖主义,恐怖组织,联合国大会,流感病毒,流感疫苗,流感症状,流行病毒,绿博会,麻疹,贸易,贸易赤字,贸易战,孟晚舟,男篮世界杯,欧债危机,气象灾害,枪击,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,森林大火,失业,世界杯,世界博览会,世锦赛,世园会,手足口病,死亡人数,特大暴雨,体育赛事,突变,瘟疫,袭击,限韩令,腺病毒,雪崩,雪灾,亚运会,亚洲杯,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射,坠机事件,自然灾害,足球世界杯
query (English),apec,DNA virus,G20 summit,G7 Summit,G8 summit,h1n1,h3n2,M1 virus,Oseltamivir,Olympic Games,G8 summit ,Violent fear,burst,Explosion,Ice disaster,Boao Forum for Asia,Expo Park,excess production capacity,North Korea nuclear issue,Infectious Diseases,subprime crisis ,Subprime loans,Smash and rob,earthquake,geologic hazard ,Winter Olympics,The war against China,fever,counter-terrorism,real estate,The plane dashed off the runway,Plane crash,cold,Infected,Stock index,tariff,coronavirus,international conference ,international terrorism,tsunami,Black Death,Flood disaster,respirator,Huawei,Volcano eruption,currency devaluation,Currency crisis,poliomyelitis,Hijacking,financial crisis ,financial crisis,BRICs Summit,BRICs Conference,Entering the Expo,Ban on Korea,economic crisis,legionaires disease ,terrorist attack,terrorism,Terrorist organizations,United Nations General Assembly,influenza virus,influenza vaccine,Flu symptoms,Epidemic virus,Green Expo,measles,Trade,trade deficit,trade war,Meng Wanzhou,Men's Basketball World Cup,European debt crisis,meteorological disaster ,Shooting,Avian influenza virus,Enclosure movement,Global stock market crash,Global financial crisis,RMB,Sade deployment,Thad incident,forest fire,Unemployment,World Cup,world 's fair,world championship,World Horticultural Exposition,Hand foot mouth disease,death toll,Torrential rain,Sports events,mutation,plague,a surprise attack,South Korea restriction order,adenovirus,avalanche,snowstorm,asian games,Asian Cup,medicine,hepatitis B virus,Vaccination,parade,debt,debt crisis ,Occupy Wall Street,Sino US relations,China EU Relations,Sino Japanese Relations,Sino Indian Relations,swine flu,injection,air crash ,natural disaster,Football World Cup
2011-Jan,10245,2292,5953,0,1714,18042,3630,0,4776,22034,310,0,6308,3066,8560,6703,531,6167,4397,9503,15982,4204,3061,276418,6311,9005,63,8747,36786,74074,63,2181,98355,13729,4022,13215,3271,4609,2029,14507,17763,1621,5392,192083,21111,2599,3646,7199,3120,7112,55456,0,0,0,0,11660,2814,14042,5999,6180,3928,6124,8880,18317,3450,4276,20488,14683,3918,0,3999,0,6304,4620,9538,2645,7965,0,2530,77283,0,0,2427,7861,46663,5792,6216,28035,31496,1389,1798,7607,5280,7591,4333,0,4939,6443,12744,58241,793717,10166,9251,4579,6084,4977,4945,0,30936,1695,24282,8221,14819,9356,1892,9432,3833
2011-Feb,7471,1680,5883,0,1502,19910,2302,0,4919,22383,185,0,5408,1962,2089,6324,641,5418,3290,9550,16972,3685,3219,109389,5561,9640,0,6501,34083,81785,122,1652,66970,16187,3158,10510,2879,5080,1635,13003,15393,1481,4934,245154,18665,2646,2413,6836,2596,6425,44908,369,0,0,0,12086,1373,13196,5104,5807,3382,5567,9515,23842,3176,3458,24065,17255,3072,0,2580,0,4346,4033,7488,2246,6749,0,2434,75433,0,0,4914,6659,35649,4785,5489,34725,25744,1219,1269,6749,4716,7555,3321,0,4376,5420,6718,36299,35695,9375,9045,5622,31973,4468,3197,0,15520,1330,18939,6211,12699,8727,1314,9664,3011
2011-Mar,11305,2538,7797,511,2192,15815,783,0,5099,31792,772,0,7009,1774,3462,10042,803,7070,5733,14573,23157,4913,3710,1045385,9134,7153,373,7458,35867,109486,0,3035,79099,14773,3979,15315,3408,7049,3176,194751,25255,3575,6253,341379,33124,3022,3546,9665,3180,7884,64130,2694,999,0,0,14772,2757,14846,7682,7035,4684,6220,8866,14961,3164,3857,42943,23803,4956,0,2839,0,6243,5579,7590,2908,10155,63,2975,85497,0,0,4413,8905,39861,6408,6707,86520,45708,3884,1754,8025,6311,10144,4972,0,5507,8414,8668,35848,19356,10995,10952,7430,19657,6041,4996,0,20354,1839,30170,8371,11900,9300,1989,25453,3877
2011-Apr,11358,2695,10477,249,2141,9431,386,0,4610,34394,1440,0,6974,2029,3430,33041,975,7552,5567,15801,22111,4928,3484,326955,9508,6408,1510,14854,37096,100335,61,2725,73666,16277,4082,14871,3396,6184,2843,33102,23741,2702,5679,328002,24506,3025,3826,8900,3713,7622,67652,6362,15156,0,0,15502,2995,13550,8681,6376,4699,5984,6825,10902,3642,4549,57450,22393,4892,0,54079,0,6872,5721,7690,4572,9728,0,2926,100862,0,0,5730,9194,40654,6447,32128,178211,79182,2585,2129,8609,5977,10703,4408,0,5664,6507,7314,34527,10073,11809,10955,7234,10563,5818,4970,0,23386,3898,26340,9465,11170,9444,2548,23828,4226
2011-May,15042,3111,7970,192,12958,8976,246,0,4436,36718,5596,0,7076,7955,3357,11379,1511,7303,7229,17325,25354,5415,3847,240373,10420,6318,1877,16341,40748,107161,64,3667,65871,14902,4856,15830,3489,6231,5744,25713,21192,3322,6059,309331,23962,3253,3879,10722,3958,8389,78970,2053,5518,0,0,19219,3869,22014,19266,17175,4888,6527,6089,9424,3900,4959,61789,23568,5314,0,5578,0,11965,5799,7821,4830,10918,0,3316,97898,0,0,4017,10398,53549,6877,21487,148873,181439,1876,3031,9474,6898,9383,5154,0,6201,6817,7840,36360,10579,12401,12187,6560,12029,6124,5589,162,40299,5343,34072,10799,11789,9968,2743,22676,4999
2011-Jun,14517,3142,5401,186,4144,8431,0,0,3931,33896,2952,0,7058,4267,3159,8721,1485,6413,7093,16074,22396,5136,3944,184608,24295,5877,1188,16707,39501,98459,0,3389,58179,17051,5045,16696,3094,5810,4843,19920,21041,8898,5765,350250,23809,2953,4908,9293,3159,8589,77220,1140,4617,0,0,17564,3271,13662,11138,7322,4141,5588,5579,7964,3512,4851,47885,21918,4971,0,5193,0,11009,4963,8262,4182,9101,0,2898,91894,0,0,3091,10567,55703,5972,7251,73906,186243,1244,5979,9236,5902,9353,4415,0,5657,6322,6332,33406,12375,11867,11038,4806,9781,6330,6382,0,37077,4030,27722,9650,11064,10946,2737,18390,5288
2011-Jul,11135,2689,4041,0,1829,9560,127,0,4118,34573,824,0,6881,2852,2639,7237,809,6462,3262,16692,18995,4459,3957,124822,14648,15987,0,16820,45767,95998,85,3568,62957,16575,3490,14249,2922,5509,2166,18756,20211,4609,8000,341401,15799,2920,3418,8088,3307,8048,64408,64,3131,0,0,13845,3689,18166,6974,7344,3228,4533,5380,8112,3359,3871,39089,21581,4249,0,4876,0,17141,3780,9308,3278,7298,0,2471,90125,0,0,2130,9684,58635,4986,32676,73947,139057,10193,4938,9043,5253,9088,4983,0,8537,8757,5509,30129,16317,11249,11469,5158,10473,7743,12865,0,21067,2252,15333,6246,10589,8741,3897,9538,5907
2011-Aug,11487,3369,4201,404,1914,10305,0,0,4322,37258,537,0,7191,2990,2885,7377,1200,6126,2941,19499,22907,4821,3138,122399,9151,8037,0,16377,45986,89246,186,3969,71018,21827,3450,13303,3098,5268,984,22448,23865,1510,9040,429415,14121,3223,3497,10629,5779,11135,111688,0,1355,0,0,25207,3280,16448,6013,7179,3091,4692,7379,8007,3606,5005,34279,21695,4092,0,5233,0,20890,3609,7961,3997,6963,1921,3654,102576,0,0,2930,9237,45228,5111,57251,63844,78152,4414,4213,7935,5499,10431,5243,0,6552,11203,5016,35699,11050,10919,12426,6157,13317,8060,16974,0,15365,2015,14632,6762,10748,8681,3691,9585,5250
2011-Sep,13008,3546,6671,5086,2395,13488,739,0,4097,39322,704,0,7400,2360,3239,7752,748,5990,4239,39896,31483,5210,2960,564825,9473,5637,127,16347,44775,89021,126,3432,81766,27328,3972,14180,3135,6398,2606,19254,32804,3805,8292,573482,17571,3016,3877,43675,4567,9764,111048,0,2431,0,0,23809,3989,17036,9779,8023,6807,5937,15180,8550,3978,5803,44100,22007,5353,0,4619,266,40873,4080,8088,5102,8835,805,3694,99523,0,0,3818,9236,52608,5576,46416,49346,76678,2924,2989,8507,5576,12687,4957,0,6206,7856,5457,29462,13466,11191,13893,5684,8035,6626,12058,6138,20741,2815,15920,9381,11519,8360,3535,11182,5352
