,dna病毒,h1n1,h3n2,m1病毒,奥司他韦,爆发,产能过剩,朝鲜核问题,传染病,次贷危机,次级贷款,地震,地质灾害,对华战争,发热,反恐,房地产,感冒,感染,股价指数,关税,冠状病毒,国际恐怖主义,黑死病,呼吸器,华为,火山爆发,货币贬值,货币危机,脊髓灰质炎,金融风暴,金融危机,禁韩令,经济危机,军团菌肺炎,流感病毒,流感疫苗,流感症状,流行病毒,麻疹,贸易,贸易赤字,贸易战,孟晚舟,欧债危机,禽流感病毒,圈地运动,全球股灾,全球金融危机,人民币,萨德部署,萨德事件,失业,手足口病,死亡人数,突变,瘟疫,限韩令,腺病毒,药物,乙肝病毒,疫苗接种,游行,债务,债务危机,占领华尔街,中美关系,中欧关系,中日关系,中印关系,猪流感,注射
,DNA_virus,h1n1,h3n2,M1_virus,Oseltamivir,burst,excess_production_capacity,North_Korea_nuclear_issue,Infectious_Diseases,subprime_crisis_,Subprime_loans,earthquake,geologic_hazard_,The_war_against_China,fever,counter-terrorism,real_estate,cold,Infected,Stock_index,tariff,coronavirus,international_terrorism,Black_Death,respirator,Huawei,Volcano_eruption,currency_devaluation,Currency_crisis,poliomyelitis,financial_crisis_,financial_crisis,Ban_on_Korea,economic_crisis,legionaires_disease_,influenza_virus,influenza_vaccine,Flu_symptoms,Epidemic_virus,measles,Trade,trade_deficit,trade_war,Meng_Wanzhou,European_debt_crisis,Avian_influenza_virus,Enclosure_movement,Global_stock_market_crash,Global_financial_crisis,RMB,THAAD_deployment,THAAD_incident,Unemployment,Hand_foot_mouth_disease,death_toll,mutation,plague,South_Korea_restriction_order,adenovirus,medicine,hepatitis_B_virus,Vaccination,parade,debt,debt_crisis_,Occupy_Wall_Street,Sino_US_relations,China_EU_Relations,Sino_Japanese_Relations,Sino_Indian_Relations,swine_flu,injection
12-Jan,2955,13640,636,0,5038,6828,5890,4489,164084,17651,4581,103197,7566,0,18473,53798,68119,107539,16188,3320,12792,3065,1601,20108,9056,516160,20391,2461,3665,10625,6597,43658,0,15000,2788,5770,7842,16578,3708,32531,17238,5395,0,5808,47969,5351,7660,0,2177,91643,0,0,8562,57264,2493,5770,10125,0,6136,10619,13794,4091,7742,5703,7408,17859,18272,1975,12368,6897,12929,7999
12-Feb,4557,9167,1005,0,4524,8713,8281,5002,23929,27128,5675,171502,7755,775,19546,26014,77339,103648,19901,4561,20420,10693,2882,27288,6236,1206259,20918,3414,4491,11736,7134,34312,0,21106,3636,6551,26285,8020,4696,42084,22130,5634,0,5356,47564,4985,11595,61,2936,97370,0,0,11788,95658,3682,6612,13155,0,7540,10967,25440,5675,17011,6751,5604,8856,25798,5210,71863,8721,9439,7933
12-Mar,4109,9094,869,0,4546,8485,7684,5122,26525,28412,6515,299323,7873,577,18336,21326,80844,101655,18623,5289,18263,4461,4331,25142,5578,1435624,20714,3147,4112,12755,7243,35709,0,21570,4184,6598,20852,7178,4313,41515,21550,5396,0,4766,49836,4968,11085,61,3049,97456,0,0,12204,93639,2947,6322,11814,0,7059,9949,17679,5443,9335,6767,5884,8401,31705,4312,58770,9396,7890,7115
12-Apr,3893,9667,1205,0,4810,8619,8490,5859,28683,24702,5720,362015,8084,716,20347,20570,74127,125128,29379,5242,19042,4297,4330,25393,5627,1011583,45940,3081,4660,14921,6954,36782,0,21783,4200,9007,13312,9042,5155,39779,19261,6043,0,4549,53241,5005,11380,0,3028,90294,0,0,12737,83851,2649,7096,15123,0,6804,9510,16567,5279,9074,6425,5918,7576,39239,4533,59005,10140,8692,7545
12-May,3375,13599,6284,0,5865,7331,5751,4603,50399,20814,4811,449589,8991,63,20521,48017,89883,123308,16959,3580,14825,3465,3781,19553,9588,729001,25617,2611,3031,11933,7174,47060,0,15688,3768,8281,10610,23561,3612,42595,26147,4738,0,6251,50656,4611,9009,0,2664,122462,0,0,10289,57576,2617,5467,10440,0,17609,11767,21434,5739,10009,6165,6788,15845,21618,3001,17147,7544,13157,8477
12-Jun,4091,16902,2700,0,6944,8370,7370,7165,37303,27521,5715,238321,11039,253,23895,53219,102874,142117,19775,4494,22088,3942,3804,27381,10152,835176,24993,3064,3902,17036,8091,53275,0,19918,4392,9413,11138,30367,4174,58310,27980,6061,0,6190,46217,5502,12145,0,3147,118335,0,0,12154,93736,3001,6448,12032,0,17549,13008,24533,6422,12421,7263,6821,18465,30363,3985,23485,11636,14990,9563
12-Jul,3889,11252,1337,0,5324,8024,7207,8534,33788,23189,5254,446683,10434,1406,21359,36438,93540,84795,25974,4598,24819,3624,3514,22163,8391,738958,25231,2907,4035,14929,7805,46737,0,19678,4153,6893,7041,13884,3807,60787,24710,4702,0,6442,42404,5154,11563,61,3166,120576,0,0,11359,208104,3108,6328,10904,0,7398,12149,15208,6060,14901,6363,6453,12197,33510,3823,23525,10320,11374,8359
12-Aug,5140,11353,998,0,5148,8314,7779,7961,38105,26566,5857,711027,12765,1833,24501,34087,96539,80167,35296,5455,19727,3662,3994,23347,7174,720769,22399,3310,4316,14936,8079,50661,0,24401,4650,7100,6230,11361,3968,65065,25590,5424,0,5942,61174,5426,13052,0,3508,119137,0,0,13205,449285,2575,7750,12146,0,9164,12525,16553,6197,13461,6782,7422,15501,49043,5000,37032,10514,12119,8452
12-Sep,6181,10740,446,0,4667,8118,7185,6890,30071,22093,5660,456378,11043,524,24653,33362,93262,74962,26704,5560,18507,3458,3482,27970,6908,690198,17989,2992,4868,13142,7764,48471,0,22902,3908,6353,5671,9583,4113,54788,22828,5555,0,4489,65525,4950,10091,61,3423,101536,0,0,12522,331579,2644,7976,11723,0,6545,11157,14411,6305,10398,7227,7439,9541,39642,4327,33537,9180,11336,8149
12-Oct,4881,9936,1626,0,4717,8156,7950,3750,25001,17509,4828,683470,12669,0,26803,38437,92321,83082,26556,3776,15920,3326,1970,27113,8838,828009,16037,3171,3804,10471,7735,46116,0,23778,4469,5478,5769,8600,4334,51089,22530,4243,0,5655,45150,4207,10094,61,2727,97384,0,0,11575,201519,8777,6922,12369,0,6677,10675,15861,5807,20692,6236,5582,7995,20172,3528,38888,7604,11480,8706
12-Nov,6027,9168,810,0,4757,8297,8489,3474,27597,17600,4716,235789,15154,0,23097,33900,85534,90737,21136,4150,16476,3154,1696,27169,8091,956815,18902,3245,3290,10642,7663,46203,0,23162,4450,5698,7483,7268,4689,49347,21505,4395,0,4955,41285,4335,9529,0,2720,105764,0,0,11346,98347,4923,6355,15025,0,6947,10572,21302,5883,155022,6196,5122,7203,22786,2924,46368,7189,10201,8296
12-Dec,5393,9208,1714,0,4494,8696,8516,4371,22186,26177,5234,476739,16469,61,19536,26110,75880,97002,19192,4198,20363,8053,1566,26760,7199,1010571,19081,3136,3524,12077,7377,37656,0,22559,4313,6076,14116,8022,4493,44223,20618,6369,0,5511,45656,4926,10134,0,2756,95038,0,0,10637,93852,2844,6027,10486,0,7556,10721,22713,5556,426676,6192,5304,10765,31818,4049,150474,8506,9559,7481
13-Jan,4262,40065,9363,0,7259,8514,9049,4553,22023,17361,5184,282585,7121,61,23099,22017,65697,145498,18989,4379,17112,3482,3271,22029,5484,1148216,15941,3467,4322,12119,6375,23771,0,14711,4256,10520,23374,40768,4775,42026,18336,6121,0,134708,29882,5009,10566,0,2725,95024,0,0,11739,63305,2686,7631,15195,0,11151,9227,15959,5675,8265,6464,5207,6104,21719,3314,68077,7194,11817,7383
13-Feb,4947,9338,1422,0,5162,10463,23428,5703,23044,23763,5635,441428,6776,1618,23765,15657,78968,124667,16158,4401,18022,7269,1830,27894,7306,978220,15875,5767,3999,12831,7020,29602,0,17671,3728,7123,27951,12118,4039,45923,22360,5373,0,8305,15111,5467,12052,461,4428,108024,0,0,11466,118782,2449,5950,12722,0,10902,9666,16446,5073,8643,9489,6958,7668,20701,3448,41939,7850,8593,7759
13-Mar,4580,10123,1394,0,4889,9659,17653,5663,24340,22751,6382,743249,7174,1510,19853,14860,74964,118929,16209,4570,17628,7260,4036,26169,6962,897145,21948,5398,4139,14779,6289,26962,0,17002,3936,7125,23443,10408,5569,39591,21176,4912,0,7566,15506,4803,11794,232,4139,116810,0,0,11649,100246,3244,5711,13058,0,7905,9754,16211,5045,9155,7376,4906,6573,26589,4102,57666,7683,7990,7029
13-Apr,4623,15809,3315,0,6845,10664,12810,7535,23992,21640,5769,291020,7088,943,23582,13804,72330,155185,17870,4707,20721,7269,3607,25819,6599,1649312,17519,5544,4690,15841,6902,29994,0,18835,4018,10160,16705,12909,5966,40586,20433,5923,0,8983,15622,6691,11828,0,4547,113138,0,0,12811,94576,2288,6252,17380,0,8640,10635,17635,6070,10204,8500,5275,7108,36087,4901,62322,9055,10288,7798
13-May,3534,9028,1987,0,5122,6753,5689,8401,18144,13336,3899,513646,5523,0,16187,24296,61011,88949,17040,2497,11691,5007,775,19387,4437,947934,12213,4151,2971,9669,5452,17885,0,11428,3346,5584,8398,12172,4082,40705,16258,3434,0,14574,16088,4220,8602,61,2366,96472,0,0,8005,46926,2783,5800,12023,0,6806,7403,14605,5056,6400,5230,3751,5266,13372,2346,39384,5052,6904,6775
13-Jun,4125,12392,2381,0,5534,9222,10326,11027,24943,26348,5774,283704,8170,427,22042,21084,101376,113378,19869,4457,18212,5813,2236,34863,6122,1183015,18495,4023,4190,12957,7247,34802,0,18210,4386,7408,9446,13249,4595,72427,24585,5566,0,11405,28494,6003,14247,0,2958,116673,0,0,12501,86737,2860,7193,12555,0,8190,10138,17050,5975,7730,7399,5132,6846,24187,4532,54816,6860,12223,12002
13-Jul,4439,109513,9171,0,22965,8987,8721,12606,43010,23799,5596,2497678,9895,1108,31826,22007,74579,126523,19073,4404,17722,5283,2761,49318,6087,1051204,22367,3723,4337,13139,7073,33080,0,18707,4480,24700,12045,67536,6475,66539,23043,4975,0,14571,26960,27895,13835,0,2871,118217,0,0,11894,163667,7278,6942,30449,0,7984,9715,17380,5654,9073,7590,5405,6736,36094,4472,47912,8796,42813,9007
13-Aug,4516,17968,4241,0,7220,8841,10464,12123,29740,22971,5782,481068,11426,1142,22461,20050,80108,75698,17813,4845,19404,10732,3461,31334,5916,891327,20034,3443,4226,14026,7265,31135,0,20274,4628,8835,6599,16785,4496,72007,23631,5301,0,11908,24107,7384,14719,63,2845,108952,0,0,13046,222607,3435,7283,14428,0,9212,10103,16196,5957,23498,7752,5697,7323,46322,5081,57651,13821,11859,9018
13-Sep,4265,9677,1596,0,5215,8696,11383,10071,25071,27362,5827,295927,8691,333,22654,19561,78678,64494,17638,5327,18567,6002,2815,24488,6032,1028542,16927,3139,4646,14184,8812,47677,0,30729,4017,6775,6251,10006,4052,59540,21563,5448,0,8896,19483,5294,13633,131,2534,96066,0,0,13840,294741,3616,6580,11285,0,9252,9926,15429,6458,8783,7193,6732,7211,44876,4734,52996,9522,6241,8819
13-Oct,4782,12172,246,0,5281,8196,12688,4949,23777,18707,4969,587673,8419,0,25098,21211,81516,81337,16545,4136,16579,8221,984,27204,6222,1052905,18638,5739,4476,12258,7320,31320,0,22944,4440,5742,6236,9784,3957,55618,19807,4030,0,9324,12367,4706,9895,234,3336,96484,0,0,11861,253485,3329,5911,11811,0,10125,8848,17970,5509,11329,6960,4788,7535,16475,3590,33082,5885,5966,7989
