,domestic (million)
12-Jan,107.43
12-Feb,103.14
12-Mar,95.68
12-Apr,78.34
12-May,65.74
12-Jun,61.16
12-Jul,69.67
12-Aug,77.73
12-Sep,66.91
12-Oct,85.27
12-Nov,111.36
12-Dec,131.65
13-Jan,90.22
13-Feb,96.29
13-Mar,108.4
13-Apr,71.63
13-May,60.29
13-Jun,71.24
13-Jul,82.69
13-Aug,90.14
13-Sep,75.15
13-Oct,94.13
13-Nov,123.28
13-Dec,150.83
14-Jan,122.03
14-Feb,156.84
14-Mar,118.23
14-Apr,95.03
14-May,85.17
14-Jun,77.67
14-Jul,89.9
14-Aug,101.21
14-Sep,83.42
14-Oct,122.54
14-Nov,138.13
14-Dec,169.23
15-Jan,132.46
15-Feb,148.38
15-Mar,130.1
15-Apr,105.5
15-May,98.61
15-Jun,85.77
15-Jul,99.18
15-Aug,116.25
15-Sep,91.9
15-Oct,113.18
15-Nov,151.07
15-Dec,187.51
16-Jan,144.19
16-Feb,159.99
16-Mar,140.37
16-Apr,114.32
16-May,106.06
16-Jun,97.6
16-Jul,111.1
16-Aug,130.63
16-Sep,103.88
16-Oct,126.08
16-Nov,166.3
16-Dec,206.16
17-Jan,163.2
17-Feb,167.57
17-Mar,151.81
17-Apr,126.7
17-May,119.38
17-Jun,111.91
17-Jul,123.36
17-Aug,144.79
17-Sep,115.98
17-Oct,138.36
17-Nov,179.22
17-Dec,183.69
18-Jan,178.35
18-Feb,219.4
18-Mar,166.72
18-Apr,137.43
18-May,130.26
18-Jun,125.13
18-Jul,139.92
18-Aug,161.26
18-Sep,144.51
18-Oct,170.87
18-Nov,212.6
18-Dec,244.63
19-Jan,232.03
19-Feb,311.72
19-Mar,211.85
19-Apr,158.21
19-May,154.74
19-Jun,140.92
19-Jul,159.79
19-Aug,174.68
19-Sep,152.07
19-Oct,204.46
19-Nov,261.8
19-Dec,299.28
20-Jan,161.56
20-Feb,9.6
20-Mar,43.92
20-Apr,68.32
20-May,105.19
20-Jun,121.77
20-Jul,161.08
20-Aug,187.63
20-Sep,168.18
20-Oct,190.95
20-Nov,227.52
20-Dec,253.28
