query (Chinese),babyface酒吧,ca1226,ca1701,kkmall,lv,八大胡同,百度地图,北京ktv,北京spa,北京按摩,北京奥特莱斯,北京八达岭长城,北京八大胡同,北京暴雨,北京北海公园,北京本地人,北京宾馆,北京菜,北京餐馆,北京餐厅,北京茶油鸭,北京昌平地图,北京朝阳大悦城,北京地产,北京地铁,北京地铁13号线,北京地铁16号线,北京地铁1号线,北京地铁3号线,北京地铁查询,北京地铁电话,北京地铁公司,北京地铁规划,北京地铁时间,北京地铁线路图,北京地铁运营时间,北京地图,北京房地产,北京格林豪泰酒店,北京工艺品,北京供暖,北京购物,北京购物攻略,北京购物中心,北京簋街,北京果脯,北京航班,北京航空,北京好玩的地方,北京后海,北京胡同,北京胡同游,北京怀柔旅游,北京纪念品,北京交通图,北京景点地图,北京酒吧,北京酒店,北京剧院,北京烤鸭,北京空气质量,北京老胡同,北京厉家菜,北京旅行社,北京旅游,北京旅游包车,北京旅游公司,北京旅游攻略,北京旅游景点,北京旅游团,北京美食,北京美食攻略,北京明天天气,北京木偶剧院,北京鸟巢,北京七日游,北京气象局,北京前门建国饭店,北京青年旅行社,北京桑拿,北京桑拿论坛,北京商业地产,北京石景山万达广场,北京实时天气,北京食品,北京市朝阳区地图,北京市文化局,北京水果,北京顺义地图,北京四合院,北京酥糖,北京糖葫芦,北京特产,北京特色酒店,北京特色美食,北京天气,北京天子酒店,北京铁路,北京土特产,北京王府井,北京五星酒店,北京西城区地图,北京西郊宾馆,北京洗浴,北京香山,北京小吃,北京新闻,北京烟袋斜街,北京演出,北京演出公司,北京夜店,北京夜色,北京夜生活,北京一日游,北京游玩,北京长城,北京长城饭店,北京长城门票,北京长城一日游,北京中国国际旅行社,北京周边两日游,北京周边游,北京住宿,昌平旅游景点,炒肝,陈奕迅演唱会,大兴地图,大运河公园,大众点评,稻香村,房山地图,凤凰旅游,古长城,国家大剧院演出信息,国子监街,航班动态,航班号,航班取消,航运界,鹤峰茶,后海酒吧,胡桃里,金拱门,京八件,京港地铁,景泰蓝,九门小吃,居庸关长城,菊儿胡同,兰桂坊,朗园,六必居酱菜,卤煮火烧,驴打滚,帽儿胡同,密云天气,明长城,慕田峪长城,拿铁酒吧,南锣鼓巷,南长城,内画壶,三里屯,史家胡同,世界公园,首都机场,天马旅行社,豌豆黄,万里长城简介,万象城官网,王府井大街,五道口酒吧,西单大悦城,小红书,小南国,蟹岛度假村,秀水街,演出票,远东百货,长城的象征意义,长城历史,长城资料,职工之家酒店,中山音乐堂
query (English),Babyface bar,ca1226,ca1701,kkmall,lv,Eight Hutongs,Baidu Maps,Beijing KTV,Beijing Spa,Beijing massage,Beijing outlets,Beijing the Badaling Great Wall,Eight hutongs in Beijing,Beijing rainstorm,"Beihai Park, Beijing",Beijing Natives,Beijing Hotel,Beijing cuisine,Beijing restaurant,Beijing restaurant,Beijing teapot duck,"Map of Changping, Beijing",Beijing Chaoyang Joy City,Beijing real estate,Beijing Metro,Beijing Metro Line 13,Beijing metro line 16,Beijing Metro Line 1,Beijing Metro Line 3,Beijing Metro inquiry,Beijing Metro telephone,Beijing Metro Corporation,Beijing Metro Planning,Beijing Metro time,Beijing subway route map,Operation time of Beijing Metro,Map of Beijing,Beijing real estate,Greenhouse Hotel Beijing,Beijing Arts and crafts,Beijing heating,Shopping in Beijing,Beijing shopping strategy,Beijing shopping center,"Yijie street, Beijing",Beijing preserved fruit,Beijing flight,Beijing Airlines,Fun places in Beijing,Beijing Houhai,Beijing Hutong,Beijing Hutong Tour,Beijing Huairou Tourism,Beijing souvenirs,Traffic map of Beijing,Map of scenic spots in Beijing,Beijing bar,Beijing Hotel,Beijing Theatre,Beijing Roast Duck,Air quality in Beijing,Beijing old Hutong,Beijing Lijia cuisine,Beijing Travel Agency,Beijing Tourism,Beijing travel charter,Beijing Tourism Company,Beijing Tourism Strategy,Beijing tourist attractions,Beijing tour group,Beijing cuisine,Beijing Food strategy,The weather in Beijing tomorrow,Beijing puppet theater,Beijing bird's nest,Seven day tour in Beijing,Beijing Meteorological Bureau,"Jianguo Hotel, Qianmen, Beijing",Beijing Youth Travel Agency,Beijing sauna,Beijing sauna Forum,Beijing commercial real estate,"Wanda Plaza, Shijingshan, Beijing",Beijing real time weather,Beijing food,"Map of Chaoyang District, Beijing",Beijing Municipal Bureau of culture,Beijing fruit,Shunyi map of Beijing,Beijing siheyuan,Beijing crisp candy,Beijing sugar gourd,Specialties of Beijing,Beijing characteristic hotel,Beijing cuisine,Beijing Weather,Beijing Tianzi Hotel,Beijing Railway,Local products in Beijing,"Wangfujing, Beijing",Beijing five star hotel,"Map of Xicheng District, Beijing",xijiao hotel ,Beijing bathing,"Xiangshan, Beijing",Beijing snacks,Beijing News,"Yandai Xiejie, Beijing",Beijing performance,Beijing performance company,Beijing nightclub,Night in Beijing,Beijing nightlife,One day tour in Beijing,Visit Beijing,Beijing Great Wall,Beijing Great Wall Hotel,Beijing Great Wall tickets,One day tour of the Great Wall in Beijing,Beijing China International Travel Service,Two day tour around Beijing,Tour around Beijing,Beijing accommodation,Changping tourist attractions,fried liver,Eason Chan's concert,Daxing map,Grand Canal Park,Public comments,Daoxiang Village,Map of Fangshan,Phoenix Tourism,Ancient Great Wall,Performance information of National Grand Theater,Guozijian Street ,Flight news,flight number,Flight cancellation,shipping circles,Hefeng tea,Hope Bar ,Hu taoli,Golden arch,Beijing eight pieces,Beijing Hong Kong Metro,Cloisonne,Jiumen snacks,The Great Wall Juyongguan,Juer Hutong,Lan Kwai Fong,Langyuan,Liubiju pickles,bittern flapjack,glutinous rice rolls stuffed with red bean paste,Maoer Hutong,Miyun weather,The great wall of Ming Dynasty,The Mutianyu Great Wall,Latte Bar ,Nanluogu Lane,South Great Wall,Inside-painted bottle,Village ,Shijia Hutong,World Park,capital airport,Tianma Travel Agency,Pea Cake,Introduction to the Great Wall,Vientiane city official website,Wangfujing Street,Wudaokou bar,Xidan Joy City,Quotations from Chairman Mao Zedong,Xiaonanguo,Crab island resort,Xiushui Street,Tickets,Far Eastern ,The symbolic meaning of the Great Wall,History of the Great Wall,Great Wall Information,Staff House Hotel,Zhongshan Music Hall
Jan-11,6726,645,684,9765,220119,9171,294436,10883,4696,11675,9987,3877,5195,800,4625,301,8307,4086,6056,3678,1450,4567,5176,3114,321312,6448,5743,6993,4703,14118,2913,5049,14503,22461,179899,8783,605680,9904,5464,2770,3155,8629,5368,4706,6036,4201,3890,8892,22815,8848,9444,5351,372,3831,12039,2599,12104,12726,9529,18885,2406,2276,2344,15443,36145,876,3378,24384,26010,4646,9750,4880,5779,4916,6661,5187,4966,2675,15500,5676,1382,1482,5153,2212,1629,6817,4041,1648,5143,8434,3282,3817,33576,3685,5191,644148,15984,9362,5243,7931,4055,3923,4170,10157,5400,19967,24751,2608,5348,4883,32762,1563,5939,14778,4133,8900,4928,3326,3388,3997,1395,8982,9124,746,6458,21275,5069,0,395455,30968,4188,7197,1529,17505,2280,13791,5889,4317,3069,480,5698,0,61,8642,10649,18630,8257,5178,3655,21623,3160,5678,7795,10824,3717,4434,2585,8989,5088,27937,1296,2456,27045,2274,10866,68852,6769,5945,1430,6069,5804,2938,16863,249,17921,10298,11622,6210,7195,304,2047,3092,2724,7222
Feb-11,6559,809,679,8318,194913,8893,280189,9281,4472,10613,8732,4810,5117,576,5340,502,8810,3661,5367,3490,1478,4115,4634,3039,251718,5947,3862,6951,3682,12600,2362,4053,10939,13703,109465,7210,521552,10695,4985,2764,2949,7056,4600,3895,5410,2316,3968,7967,28010,9327,8941,5814,2283,3275,10490,2650,11912,12924,8188,13952,3510,2494,1976,14967,39037,947,3224,27204,28984,6857,8848,4779,7217,4504,7193,5234,5651,1807,13321,5711,1775,2537,4401,3026,1220,7308,3702,972,5599,10669,435,2489,17101,4206,4998,898712,6278,4430,3253,12849,3809,4006,3511,9313,5780,20161,22865,2630,4604,3677,33466,1740,6060,18113,4792,9507,4369,5003,4200,3871,2128,9827,9795,2039,6288,20800,4754,61,365394,22696,3541,8535,1707,13122,2069,11995,4964,3497,2729,626,5694,0,0,5943,10905,35280,9746,5268,3320,21350,3362,4408,8832,9922,3119,4838,2374,8876,4990,27992,2439,1800,25652,1736,13796,63778,6429,5365,3026,4134,6276,2562,13060,188,14170,7181,11558,4421,7331,61,2576,5286,626,4937
Mar-11,7225,1423,768,10281,209882,10256,415624,9663,4457,13232,12198,7790,6224,478,7032,306,10953,4713,5779,4042,2041,5503,5038,3456,339717,7107,5082,7722,3914,17205,2526,4862,13525,13170,146629,6890,834970,11418,6077,3484,3638,8691,6459,5868,7220,3194,4158,9544,35082,12258,12470,7721,5135,4171,12954,3582,13682,17975,10800,21298,3668,3644,5170,20183,57261,1794,4221,32555,37536,9655,11688,6088,9510,4721,11005,6045,6733,3082,19079,6925,2845,2643,4991,3638,2048,8510,6106,1729,6589,26793,1113,3713,29218,5633,5949,1389744,2955,4944,4262,12262,4796,4756,5767,9474,8413,26237,26371,3206,5951,5379,33620,2223,6603,27536,5809,14008,5937,6859,5584,5794,3827,18379,12579,4382,7142,36720,6830,250,448100,22024,5146,14990,2076,14533,2486,10989,5652,3449,3356,860,7337,0,0,5397,13806,24507,10179,6985,4103,24153,3733,4946,9498,12616,3855,5198,2959,12894,5811,33239,2683,2425,31213,2324,22631,50966,8652,6304,5428,2701,6779,3632,15108,429,15272,8609,20430,5408,7663,302,3776,5432,1815,6982
Apr-11,7383,1496,825,10884,196201,10060,484486,9836,3256,12544,11325,9439,6900,1062,9094,181,12148,4748,6045,4033,2520,6188,5419,3349,341887,7815,6714,8239,4148,18653,2710,4843,11211,14993,130375,7810,728021,10063,6277,4036,1089,9655,9288,5824,8244,5525,3939,9749,44594,15682,13028,8415,6765,4724,12378,4596,14106,19898,7970,21630,3727,4179,3840,22629,80672,2647,4399,36907,43879,12991,12274,6458,13412,5543,11459,6378,7384,3456,22210,7079,3026,2446,5293,4574,6590,7797,5266,2106,6904,11577,1171,3785,31660,5652,6408,1923666,5440,4988,4490,11172,4610,5074,6005,9685,10248,29802,27357,3523,6025,5597,33004,1320,6889,35262,11020,16522,6002,10774,7089,5760,12005,25992,15801,6035,6667,45296,5188,1128,462535,23969,4869,18715,2149,15802,2160,11150,5701,3081,3701,560,8261,0,0,5507,10880,25551,12490,9008,4380,24766,4128,4852,8552,12905,4686,6231,3252,18116,6115,38408,3178,2219,34069,2356,36641,52266,10209,6631,8375,2849,5224,4304,16842,802,15163,11883,15074,5693,7718,181,3471,4760,1094,7548
May-11,7824,1392,765,10109,225907,11251,499328,9448,4308,14039,13407,8056,7380,1404,8338,241,10686,4827,6017,4131,2667,6230,5759,3463,331993,7474,7393,9507,4273,18651,2806,5179,12812,14124,63062,7673,694262,10278,5648,4034,934,9334,8198,6211,8901,5579,4273,9832,38416,15514,13461,8081,4907,4868,12499,3956,15039,18692,23101,26783,3505,3792,3371,21961,66707,3214,4399,34279,35252,11683,12555,6754,13344,6646,12772,6739,8083,3544,23056,7502,3346,2598,6078,4940,7048,7412,4702,2306,7154,11292,1639,3442,30925,5393,6632,1819142,2857,4952,4979,10830,4987,4894,6104,9025,8354,28418,30388,3692,6309,5389,32994,1798,6466,33527,9310,14906,6350,8060,6642,6906,9512,20148,13544,5388,8096,38501,4750,1136,689860,27111,3948,16484,2065,16704,2521,12800,5847,3572,3055,1172,8646,61,64,5350,11880,28564,10222,8256,4447,28678,4049,5385,10227,12887,3889,6570,4696,13375,6658,35165,2986,1884,37747,2548,30864,58980,9152,6742,7197,3319,5590,5036,17676,380,16821,11965,16731,5866,7836,679,3756,4548,740,8333
Jun-11,7460,1630,969,9260,214319,10490,519239,9483,3238,13627,11960,7823,7156,395676,7813,422,11655,4683,6302,3935,3306,6727,5415,3360,336326,8699,5618,8755,3969,17556,4447,5510,10898,13571,183002,7731,720607,10170,6241,3615,1466,9098,8297,5956,9625,5182,5962,10100,39228,15545,11568,7775,4604,4812,11917,4044,14837,19763,17781,24283,3529,3641,3207,24075,73957,2655,4985,41592,34179,14728,12430,6948,9132,5978,10334,7633,8311,4021,25459,6710,3563,2433,5437,6574,6880,7900,4905,2184,6880,10571,1631,3270,29268,5039,6446,1479694,3747,6066,4869,10793,4600,4778,6222,8093,7431,26454,35161,3411,6077,5285,31290,1937,6498,32285,9798,13993,5900,6956,6393,7010,11245,18633,14450,4757,7223,41907,4874,624,517589,23426,3584,15603,1926,16478,1987,18377,5796,4818,3100,985,8851,0,0,4982,10846,24231,9656,7225,3762,25928,3436,4698,9002,11479,4257,6695,4563,11133,6497,33767,2714,1355,34723,2242,25883,84396,10850,6143,5671,4043,5491,4614,18355,316,15698,17165,15602,5919,10143,693,2979,2788,621,9250
Jul-11,7583,2053,957,15197,229839,10739,683235,9915,3331,14935,11471,9378,8015,78896,9852,1043,17781,4924,4759,4502,4526,7921,5793,3355,459253,8950,5855,10357,4554,16661,3698,5785,10888,27332,215823,10882,858513,10087,7868,4085,1542,11536,10354,6948,10882,5684,6659,8710,47547,19617,12890,8989,4742,6016,14021,6517,14099,28731,20634,26961,3100,5011,3401,31473,103925,3182,5350,67123,42676,20857,16197,10038,12238,7261,11593,8120,11828,4774,31761,7058,3249,2422,5630,10531,7358,8828,4810,1998,7345,9713,2061,3913,38050,5835,8021,1964312,2098,7118,6075,15646,5046,5480,7098,9477,8547,36805,33100,4491,6906,5205,38160,2275,7401,38545,11201,16263,5965,6816,8483,9444,15292,20076,23125,5734,9096,40536,4872,799,634784,24734,4035,21151,1832,20803,2574,21096,6398,5082,3250,748,9005,0,64,5484,14677,37754,13235,9623,4183,27403,3659,5404,8737,13780,4645,7886,3293,12836,6477,41630,3577,1196,40976,3849,33470,106456,16682,6949,5293,4228,7113,4624,23118,185,18171,23099,18114,6738,8837,3695,3456,2273,853,11282
Aug-11,7431,1672,1020,12414,239824,11752,722798,9532,3874,15308,12153,8547,8129,26328,9437,1180,16448,5089,3252,4733,5572,7234,6005,3681,381262,10098,7223,9682,4705,19414,3103,5090,12703,35336,221767,10312,829259,10602,7345,3916,1753,11515,9875,6857,10054,5941,5293,8716,44839,19085,13487,7767,5531,5521,14301,6348,13876,25536,24480,28121,3090,5029,3825,27947,89473,3483,5342,53675,41842,16714,15926,10970,10393,7576,12157,5288,9692,5138,29053,7165,4196,2506,5897,6866,6550,7939,4727,2139,6681,10348,1966,4217,37547,5721,7193,1757776,2273,6770,5868,14655,5133,5873,6788,9572,10280,37336,31279,4718,6848,5796,32616,1952,7377,37798,10572,16198,5922,4684,7762,7892,15008,20280,20549,8320,17651,56794,4762,624,694297,36556,4124,19773,1976,20053,3021,22352,6596,5504,3477,730,8468,0,0,5704,9807,30456,14433,9352,3953,28086,3627,6144,10579,14479,4471,7107,3390,12603,6622,42371,3351,1563,39756,2970,33034,93427,13443,7215,5994,3538,6551,4770,22889,311,19424,19516,18974,8750,9240,3744,3485,3071,2350,9763
Sep-11,6828,1929,587,9152,238280,11599,701770,8844,3548,14268,12399,8790,7763,7508,8271,503,14941,4836,3032,4258,5352,7085,5562,3501,371754,9220,5619,10522,4711,16678,3287,5278,11756,33598,208021,10120,747438,10241,6308,4119,3125,10979,8593,6147,9455,5982,4668,8605,40625,17472,13665,7807,5350,4623,13298,5674,13265,23542,11773,27260,3616,4810,4146,25574,88042,3234,4490,51189,40425,15060,14505,10866,10050,5478,13078,5414,6450,4095,27232,6794,4196,2508,5450,3995,6469,7514,4926,2607,5871,12024,2433,4475,37028,5691,6926,1741438,3047,8172,5378,12836,4960,5524,6395,9663,20441,36264,28746,4188,6636,5334,31584,1673,6951,34456,10229,17013,6240,4810,7084,6727,12259,22508,19796,10073,8637,78899,4654,1125,638205,51360,3658,20136,2275,17787,2769,16926,6293,4307,3617,495,8230,0,63,6627,9073,28893,12195,8684,4247,27545,3568,6022,8354,12443,4722,6259,3395,15884,7972,36390,3158,2390,37285,2672,28848,80406,11700,7172,9040,2989,5703,4555,19129,748,23017,13799,17748,8411,9093,447,4864,6394,630,7630
